run_id,trial,is_baseline,sklearn_version,xgboost_version,cv_pr_auc_mean,cv_pr_auc_std,cv_roc_auc_mean,cv_roc_auc_std,train_pr_auc_mean,fit_time_sec,wall_time_sec,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight
20260622_101438,45,False,1.7.2,3.3.0,0.9368508733299968,0.0019009838878094,0.8002318253642595,0.0058690838690852,0.937353543270724,8.852809429168701,4.538370999999643,180,2,0.0359,0.75,0.65,80,0.3,0.1,5.0,1.0
20260622_101438,46,False,1.7.2,3.3.0,0.9365462810666764,0.0020413746881092,0.7997807180209733,0.0061150518922225,0.937366455823525,5.2939183712005615,2.76593690000027,120,3,0.025,1.0,0.8,80,0.0,2.0,5.0,1.0
20260622_101438,47,False,1.7.2,3.3.0,0.9368158132274016,0.0020737273973579,0.8017420866135483,0.0062723811294482,0.9416341569430718,8.73957872390747,4.310018999999556,120,5,0.06,0.85,0.8,1,0.1,0.0,10.0,0.5
20260622_101438,48,False,1.7.2,3.3.0,0.9361067846230224,0.0021468941768041,0.7987799710940349,0.0062415619870017,0.9369445363807148,5.642000913619995,3.3461967000002915,120,3,0.02,1.0,0.8,1,0.0,1.0,3.0,0.75
20260622_101438,49,False,1.7.2,3.3.0,0.9368325869901198,0.001962346678782,0.8015236484470023,0.006102341887453,0.9385487788702288,11.166305303573608,4.933353999999781,500,2,0.045,1.0,0.8,20,0.5,0.0,3.0,0.5
20260622_101438,50,False,1.7.2,3.3.0,0.9369909992891504,0.002272222549004,0.801318637758565,0.0062967794495464,0.9391424661519088,5.701148986816406,2.583378100000118,120,5,0.025,0.85,0.9,40,0.1,0.0,40.0,0.75
20260622_101438,51,False,1.7.2,3.3.0,0.9368293788408792,0.0019828418939919,0.8016618234524364,0.0061005166391385,0.9437113638541323,8.364363670349121,3.826043199999731,180,6,0.0359,0.65,0.65,10,0.3,0.0,1.0,1.0
20260622_101438,52,False,1.7.2,3.3.0,0.9365197859518514,0.0019146302307002,0.7999147815218197,0.0059481135123143,0.9372212788457872,9.49214768409729,4.040422999999464,400,2,0.015,1.0,0.8,20,0.3,0.5,5.0,1.0
20260622_101438,53,False,1.7.2,3.3.0,0.9366389466074712,0.0016379280171414,0.8007299672918512,0.0057349041762874,0.9449275100881208,8.789928674697876,4.273991600000045,320,6,0.0359,1.0,1.0,1,0.5,2.0,3.0,0.5
20260622_101438,54,False,1.7.2,3.3.0,0.9369633428138971,0.0021791276847299,0.8012146816315484,0.0061391517404964,0.9388470159427292,6.262505531311035,3.053396699999212,250,4,0.015,1.0,0.9,5,0.1,1.0,10.0,0.75
