category_id,category_code,display_name,top_brand,price_median,n_products,n_events,price_sum,source_dataset
1487580007399162817,,category_1487580007399162817,irisk,1.83,29,29234,53458.09,REES46 cosmetics 2019-Oct..2020-Feb
1487580011534745720,,category_1487580011534745720,UNK,6.13,184,28611,175451.12,REES46 cosmetics 2019-Oct..2020-Feb
1487580006434472855,,category_1487580006434472855,jas,44.72,18,28366,1268465.8,REES46 cosmetics 2019-Oct..2020-Feb
1487580009521479714,,category_1487580009521479714,UNK,7.17,74,28235,202388.56,REES46 cosmetics 2019-Oct..2020-Feb
1487580011308253293,,category_1487580011308253293,domix,8.34,86,28056,233919.27,REES46 cosmetics 2019-Oct..2020-Feb
1487580013145358517,,category_1487580013145358517,UNK,5.1,138,27717,141260.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580007776650194,,category_1487580007776650194,UNK,0.92,34,27557,25228.27,REES46 cosmetics 2019-Oct..2020-Feb
1487580008984608779,,category_1487580008984608779,UNK,44.49,51,27552,1225711.8,REES46 cosmetics 2019-Oct..2020-Feb
2151191070984110951,,category_2151191070984110951,UNK,4.92,31,27114,133522.6,REES46 cosmetics 2019-Oct..2020-Feb
1495705810662064688,,category_1495705810662064688,UNK,3.8,25,26006,98813.15,REES46 cosmetics 2019-Oct..2020-Feb
1487580013170524342,,category_1487580013170524342,UNK,5.19,169,25810,133979.88,REES46 cosmetics 2019-Oct..2020-Feb
1487580014009385185,,category_1487580014009385185,UNK,27.33,31,24742,676209.94,REES46 cosmetics 2019-Oct..2020-Feb
1487580012574933146,,category_1487580012574933146,UNK,6.94,221,24593,170569.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580010695884882,accessories.bag,accessories.bag,UNK,46.11,44,24253,1118287.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580009261432856,,category_1487580009261432856,zinger,1.35,44,23828,32078.57,REES46 cosmetics 2019-Oct..2020-Feb
2069804417665728971,,category_2069804417665728971,cosmoprofi,5.12,274,23382,119792.9,REES46 cosmetics 2019-Oct..2020-Feb
1487580007592100809,,category_1487580007592100809,UNK,0.53,26,23368,12462.26,REES46 cosmetics 2019-Oct..2020-Feb
1487580012373606546,,category_1487580012373606546,UNK,7.21,242,22916,165243.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580006409307030,,category_1487580006409307030,airnails,4.73,49,22831,107881.43,REES46 cosmetics 2019-Oct..2020-Feb
1487580013732561106,,category_1487580013732561106,estel,9.0,47,22744,204618.38,REES46 cosmetics 2019-Oct..2020-Feb
1487580011501191286,,category_1487580011501191286,UNK,2.34,79,22344,52223.84,REES46 cosmetics 2019-Oct..2020-Feb
1487580012642042013,,category_1487580012642042013,UNK,12.07,98,22159,267506.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580007457883075,,category_1487580007457883075,UNK,4.52,71,21924,98987.44,REES46 cosmetics 2019-Oct..2020-Feb
1842735758805303837,,category_1842735758805303837,beauty-free,2.95,121,21794,64378.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580008774893569,,category_1487580008774893569,UNK,4.44,94,21774,96667.78,REES46 cosmetics 2019-Oct..2020-Feb
1842735760499802745,,category_1842735760499802745,kinetics,8.86,290,21577,191146.78,REES46 cosmetics 2019-Oct..2020-Feb
1487580009026551821,,category_1487580009026551821,runail,21.08,80,21183,446462.88,REES46 cosmetics 2019-Oct..2020-Feb
1921723491720102387,,category_1921723491720102387,UNK,5.62,90,21154,118812.29,REES46 cosmetics 2019-Oct..2020-Feb
1487580008758116352,,category_1487580008758116352,UNK,4.79,70,21053,100743.63,REES46 cosmetics 2019-Oct..2020-Feb
1487580010318397504,,category_1487580010318397504,UNK,9.15,106,21039,192445.31,REES46 cosmetics 2019-Oct..2020-Feb
1487580013472514244,,category_1487580013472514244,art-visage,2.3,7,20488,47104.43,REES46 cosmetics 2019-Oct..2020-Feb
1487580006644188066,,category_1487580006644188066,UNK,4.69,72,20414,95659.36,REES46 cosmetics 2019-Oct..2020-Feb
1487580008162526182,,category_1487580008162526182,UNK,15.53,26,20405,316949.12,REES46 cosmetics 2019-Oct..2020-Feb
2151191070908613477,,category_2151191070908613477,UNK,3.69,21,20220,74695.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580011408916594,,category_1487580011408916594,swarovski,3.87,91,20155,77968.29,REES46 cosmetics 2019-Oct..2020-Feb
1487580008607122425,,category_1487580008607122425,masura,5.34,281,20116,107432.72,REES46 cosmetics 2019-Oct..2020-Feb
1977575787259232875,,category_1977575787259232875,UNK,4.43,76,20058,88917.62,REES46 cosmetics 2019-Oct..2020-Feb
1783999076551885399,,category_1783999076551885399,happyfons,5.78,43,19981,115441.97,REES46 cosmetics 2019-Oct..2020-Feb
2134354342373753638,,category_2134354342373753638,UNK,3.71,249,19728,73110.44,REES46 cosmetics 2019-Oct..2020-Feb
1761186209054327497,,category_1761186209054327497,dermacol,7.95,88,19652,156290.92,REES46 cosmetics 2019-Oct..2020-Feb
1487580006937789357,,category_1487580006937789357,UNK,7.1,64,19570,139003.39,REES46 cosmetics 2019-Oct..2020-Feb
1487580007550157767,,category_1487580007550157767,UNK,0.92,105,19420,17962.84,REES46 cosmetics 2019-Oct..2020-Feb
1891434351850160381,,category_1891434351850160381,petitfee,15.63,36,19303,301670.75,REES46 cosmetics 2019-Oct..2020-Feb
1487580007835370453,,category_1487580007835370453,metzger,9.83,36,19100,187823.73,REES46 cosmetics 2019-Oct..2020-Feb
2177933350667289121,,category_2177933350667289121,UNK,5.34,176,19094,102025.67,REES46 cosmetics 2019-Oct..2020-Feb
1937169073007756269,,category_1937169073007756269,lovely,7.64,170,18597,142021.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580011425693811,,category_1487580011425693811,UNK,1.67,80,18564,31062.29,REES46 cosmetics 2019-Oct..2020-Feb
