brand,n_products,n_categories,n_events,price_median,source_dataset
biore,17,2,1071,12.26,REES46 cosmetics 2019-Oct..2020-Feb
fedua,8,4,1051,27.16,REES46 cosmetics 2019-Oct..2020-Feb
eos,18,1,1018,9.1,REES46 cosmetics 2019-Oct..2020-Feb
dorena,19,11,940,69.33,REES46 cosmetics 2019-Oct..2020-Feb
termix,38,1,864,21.4,REES46 cosmetics 2019-Oct..2020-Feb
sun,5,1,837,61.47,REES46 cosmetics 2019-Oct..2020-Feb
marutaka-foot,6,4,830,11.98,REES46 cosmetics 2019-Oct..2020-Feb
mielle,7,5,803,10.57,REES46 cosmetics 2019-Oct..2020-Feb
koreatida,3,1,752,23.51,REES46 cosmetics 2019-Oct..2020-Feb
cosima,5,1,746,1.05,REES46 cosmetics 2019-Oct..2020-Feb
mane,12,2,713,51.0,REES46 cosmetics 2019-Oct..2020-Feb
bioderma,31,9,689,12.48,REES46 cosmetics 2019-Oct..2020-Feb
binacil,6,1,644,6.02,REES46 cosmetics 2019-Oct..2020-Feb
koelcia,12,3,570,10.44,REES46 cosmetics 2019-Oct..2020-Feb
skipofit,8,7,543,8.28,REES46 cosmetics 2019-Oct..2020-Feb
tazol,3,1,527,2.0,REES46 cosmetics 2019-Oct..2020-Feb
andrea,2,2,502,5.52,REES46 cosmetics 2019-Oct..2020-Feb
kondor,3,2,479,48.62,REES46 cosmetics 2019-Oct..2020-Feb
cettua,18,6,475,3.1,REES46 cosmetics 2019-Oct..2020-Feb
kares,12,4,454,22.76,REES46 cosmetics 2019-Oct..2020-Feb
frozen,1,1,438,4.11,REES46 cosmetics 2019-Oct..2020-Feb
labay,5,3,370,19.23,REES46 cosmetics 2019-Oct..2020-Feb
foamie,7,2,341,10.8,REES46 cosmetics 2019-Oct..2020-Feb
fly,3,3,331,6.69,REES46 cosmetics 2019-Oct..2020-Feb
arganoil,8,6,324,14.75,REES46 cosmetics 2019-Oct..2020-Feb
resize,7,4,310,8.88,REES46 cosmetics 2019-Oct..2020-Feb
tosowoong,2,2,292,16.02,REES46 cosmetics 2019-Oct..2020-Feb
neoleor,4,3,280,65.2,REES46 cosmetics 2019-Oct..2020-Feb
dobrovit,16,7,272,6.15,REES46 cosmetics 2019-Oct..2020-Feb
radius,5,1,271,21.94,REES46 cosmetics 2019-Oct..2020-Feb
helloganic,4,1,234,3.1,REES46 cosmetics 2019-Oct..2020-Feb
juno,4,1,202,7.18,REES46 cosmetics 2019-Oct..2020-Feb
weaver,2,1,202,6.03,REES46 cosmetics 2019-Oct..2020-Feb
ovale,5,2,194,2.67,REES46 cosmetics 2019-Oct..2020-Feb
busch,6,1,185,12.06,REES46 cosmetics 2019-Oct..2020-Feb
australis,41,12,184,17.3,REES46 cosmetics 2019-Oct..2020-Feb
philips,1,1,178,3.15,REES46 cosmetics 2019-Oct..2020-Feb
everyang,5,1,162,6.58,REES46 cosmetics 2019-Oct..2020-Feb
rocknailstar,19,1,141,3.65,REES46 cosmetics 2019-Oct..2020-Feb
zab,4,2,140,16.85,REES46 cosmetics 2019-Oct..2020-Feb
bosnic,4,2,127,17.44,REES46 cosmetics 2019-Oct..2020-Feb
dancoly,4,4,117,15.4,REES46 cosmetics 2019-Oct..2020-Feb
rorec,4,3,104,2.06,REES46 cosmetics 2019-Oct..2020-Feb
skinity,3,1,102,4.36,REES46 cosmetics 2019-Oct..2020-Feb
laiseven,18,5,99,8.73,REES46 cosmetics 2019-Oct..2020-Feb
esquire,2,2,92,28.68,REES46 cosmetics 2019-Oct..2020-Feb
barbie,3,2,90,4.04,REES46 cosmetics 2019-Oct..2020-Feb
pilaten,4,2,77,1.96,REES46 cosmetics 2019-Oct..2020-Feb
lunaris,2,2,70,20.0,REES46 cosmetics 2019-Oct..2020-Feb
blise,3,2,59,60.32,REES46 cosmetics 2019-Oct..2020-Feb
embryolisse,5,3,54,42.7,REES46 cosmetics 2019-Oct..2020-Feb
essie,19,2,45,6.51,REES46 cosmetics 2019-Oct..2020-Feb
uralsoap,11,7,44,2.92,REES46 cosmetics 2019-Oct..2020-Feb
bodipure,4,3,36,2.21,REES46 cosmetics 2019-Oct..2020-Feb
cuccio,19,3,36,7.78,REES46 cosmetics 2019-Oct..2020-Feb
macadamia,10,5,33,19.21,REES46 cosmetics 2019-Oct..2020-Feb
ibd,10,1,19,7.84,REES46 cosmetics 2019-Oct..2020-Feb
ikoo,8,2,16,28.41,REES46 cosmetics 2019-Oct..2020-Feb
invisibobble,5,1,16,4.6,REES46 cosmetics 2019-Oct..2020-Feb
nova,3,1,14,5.4,REES46 cosmetics 2019-Oct..2020-Feb
footlogix,1,1,13,19.05,REES46 cosmetics 2019-Oct..2020-Feb
voesh,5,1,11,1.78,REES46 cosmetics 2019-Oct..2020-Feb
shifei,4,2,10,4.68,REES46 cosmetics 2019-Oct..2020-Feb
vl-gel,2,1,7,2.52,REES46 cosmetics 2019-Oct..2020-Feb
dessata,4,2,6,15.4,REES46 cosmetics 2019-Oct..2020-Feb
gena,1,1,3,8.89,REES46 cosmetics 2019-Oct..2020-Feb
pueen,1,1,1,6.98,REES46 cosmetics 2019-Oct..2020-Feb
